Unnamed: 0,shoporder,Model,Blade Does Not Pass Front Stop,Contamination,Continuity Fail,Cosmetic Defect,Damaged Harness Cable,Engineering Sample,Front Stops Not Touching,Front and Middle Stops Not Touching,Fuse Switch,High Jaw Gap,Incorrect Configuration,Incorrect Insulation Orientation,Incorrect Soldered Latis Location,Incorrect/Missing Weld,Insulation Damage,Jaw Short,Low Jaw Force,Low Jaw Gap,Middle Stops Not Touching,Rough Jaw Actuation,Stuck Blade,Wire Exposure
0,1510779,EB215,0,0,0,9,0,0,5,0,0,1,16.0,36,1,1,8,0,0,32,0,27,18,0
1,1508113,EB215,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2,1510781,EB215,0,0,0,0,0,0,9,0,0,0,16.0,10,0,0,17,5,0,50,0,12,11,3
3,1513568,EB211,0,0,0,0,0,0,3,0,0,7,8.0,18,0,6,4,0,0,78,4,104,3,0
4,1512002,EB215,1,0,0,0,0,0,5,0,0,4,36.0,56,0,0,14,1,0,42,0,62,13,4
5,1512027,EB217,0,0,0,0,0,0,2,0,0,2,3.0,6,0,1,22,1,0,27,0,26,21,0
6,1512026,EB215,0,0,0,0,0,0,27,0,0,6,44.0,29,0,5,5,0,0,82,0,46,3,1
7,1514189,EB215,0,1,0,0,0,0,5,0,0,1,23.0,32,0,65,18,0,33,43,0,28,21,1
8,1514191,EB217,0,0,0,0,0,0,4,0,0,2,16.0,2,0,3,3,0,0,9,0,30,10,0
9,1514188,EB215,0,2,0,2,0,0,11,0,0,10,78.0,3,0,15,33,3,0,60,0,4,9,0
10,1504586,EB216,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
11,1504585,EB211,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
12,1512004,EB215,1,0,0,0,0,0,27,0,0,6,43.0,15,0,9,32,1,0,82,0,21,14,1
13,1517972,EB213,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,2,0,1,0,0,0,0
14,1515307,EB215,0,0,1,0,0,0,55,0,0,0,34.0,25,0,2,11,3,3,137,0,19,12,0
15,1512025,EB214,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,2,0,0,11,1,0,2,0
16,1518004,EB217,0,1,0,0,0,0,1,0,0,0,14.0,0,0,0,16,0,0,3,0,4,32,0
17,1515308,EB215,1,0,1,0,0,0,13,0,0,6,59.0,16,0,2,18,0,4,78,0,26,12,0
18,1517977,EB215,0,0,2,0,0,0,19,0,0,1,30.0,8,0,1,7,5,64,90,0,9,6,2
19,1514190,EB215,0,10,0,0,0,0,0,0,0,11,53.0,5,0,1,15,2,0,37,0,9,9,1
20,1517597,EB210,0,0,0,0,0,0,0,0,0,1,14.0,8,0,3,9,4,0,5,0,29,4,1
21,1514184,EB212,0,0,0,0,0,0,0,0,3,0,3.0,0,0,2,2,0,0,25,0,11,3,0
22,1518279,EB216,0,0,0,0,0,0,1,0,0,0,5.0,0,0,0,4,0,0,3,1,2,0,0
23,1517980,EB215,0,0,0,0,0,0,8,0,0,1,21.0,5,0,0,22,1,0,64,0,9,2,0
24,1519723,EB212,1,0,0,0,0,0,4,0,6,0,18.0,2,0,1,6,0,0,56,0,2,3,1
25,1521671,EB215,0,0,0,0,0,0,13,2,0,43,26.0,2,0,2,2,1,0,0,0,34,4,0
26,1519767,EB217,0,0,0,0,0,0,0,0,0,13,15.0,1,0,1,0,1,0,6,0,8,21,1
27,1519721,EB211,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1,0,0,4,0,0,1,0
28,1518003,EB215,0,2,0,0,0,0,10,0,0,23,40.0,5,0,5,6,2,0,43,0,23,4,3
29,1524592,EB216,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1,0
30,1523562,EB217,0,0,0,0,0,0,1,3,0,10,6.0,0,0,2,7,4,0,2,0,0,7,0
31,1524588,EB214,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,2,0,0
32,1524265,EB211,0,0,0,0,0,0,0,0,0,2,1.0,0,0,0,0,0,0,0,0,4,0,0
33,1523561,EB215,1,0,0,0,0,0,0,6,0,87,13.0,16,0,4,8,3,0,0,0,20,1,0
34,1524587,EB212,0,0,0,0,0,0,2,1,1,3,3.0,0,0,0,4,2,0,6,0,2,2,0
35,1522861,EB215,0,0,0,0,0,0,3,0,0,30,14.0,7,0,0,9,4,0,5,0,51,1,0
36,1520624,EB213,1,0,0,0,0,0,0,0,0,0,34.0,0,0,0,6,0,0,5,0,3,2,4
37,1520623,EB212,0,0,0,0,0,0,6,0,0,0,12.0,0,0,0,1,1,0,20,0,7,2,0
38,1522860,EB215,0,0,0,0,0,0,20,0,0,9,37.0,21,0,2,7,4,0,20,0,61,2,0
39,1519737,EB215,0,0,0,0,0,0,6,1,0,0,21.0,4,0,1,6,2,0,64,0,17,6,0
40,1519738,EB215,0,0,0,0,0,0,3,0,0,6,16.0,3,0,3,16,2,0,8,0,20,1,1
41,1519748,EB216,0,0,1,0,0,35,1,0,0,1,3.0,1,0,0,3,0,0,1,0,1,0,0
42,1519769,EB217,0,0,0,0,0,0,5,0,0,6,18.0,1,0,0,7,3,0,8,0,0,26,0
43,1519717,EB210,0,0,0,0,0,0,0,0,0,0,4.0,2,0,0,6,1,0,4,0,9,5,1
44,1518413,EB215,0,0,0,0,0,0,13,0,0,1,30.5,3,0,4,4,3,0,88,0,26,4,0
45,1519724,EB213,1,0,0,0,0,0,1,0,2,0,2.0,0,0,2,5,3,0,5,0,0,3,0
46,1519768,EB217,1,1,0,0,0,0,6,0,0,3,1.0,0,0,3,5,0,0,20,0,5,1,0
47,1522868,EB215,0,0,0,0,0,0,4,0,0,10,28.0,2,0,0,4,2,0,41,0,4,1,3
48,1522508,EB216,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
49,1522813,EB215,0,0,0,0,0,0,5,0,0,18,113.0,10,0,0,6,1,0,3,0,106,1,3
50,1520635,EB217,0,0,0,0,0,0,15,0,0,4,17.0,0,0,1,2,0,0,13,0,11,16,0
51,1521801,EB211,0,0,0,0,0,0,0,0,0,0,19.0,1,0,4,0,0,0,16,0,76,8,0
52,1519739,EB215,0,0,0,0,0,0,11,0,0,11,39.0,3,0,0,2,3,0,32,0,8,5,3
53,1524591,EB213,0,0,0,0,0,0,3,0,0,0,6.0,1,0,0,0,0,0,1,0,3,2,0
54,1525034,EB215,0,0,0,0,0,0,3,10,0,180,14.0,3,0,1,10,0,13,3,0,3,7,0
55,1526573,EB212,0,0,0,0,0,0,5,0,0,9,12.0,2,0,0,12,2,0,1,0,0,2,0
56,1521800,EB210,0,0,0,0,0,0,0,0,0,0,1.0,8,0,0,5,0,0,5,0,86,6,0
57,1526543,EB215,0,0,0,0,0,0,25,0,0,1,2.0,2,0,0,0,0,0,46,0,1,8,0
58,1524590,EB215,0,0,0,1,1,0,0,0,0,98,2.0,4,0,0,4,0,0,0,0,5,4,0
59,1523580,EB211,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
60,1528174,EB217,0,0,0,0,0,0,0,0,0,0,5.0,1,0,0,0,3,0,2,0,0,3,9
