Id,Name,Obsolete,FileId
13,Assembly Error,FALSE,
14,Attachment Button Shave,FALSE,
16,Bad Tip Forming,FALSE,
20,Bent,FALSE,
24,Blade Does Not Pass Front Stop,FALSE,
31,Box Damage,FALSE,
38,Burn on Seal,FALSE,
43,Contamination,FALSE,
44,Continuity Fail,FALSE,
46,Cosmetic Defect,FALSE,
47,"Cracks, Splits, or Chips",FALSE,
49,Cracked Plugs,FALSE,
56,Damaged due to Disassembly of Rework Process,FALSE,
58,Damaged Harness Cable,FALSE,
65,Defective Components,FALSE,
66,Defective Switch,FALSE,
68,Deformation,FALSE,
70,Device Key Not Reading Device,FALSE,
73,Discolored Component,FALSE,
75,Dropped Clips,FALSE,
79,Engineering Instruction,FALSE,
80,Engineering Sample,FALSE,
84,Excessive Adhesive,FALSE,
85,Expired Materials,FALSE,
93,Fail Cut Test,FALSE,
95,Fail Dimensional Over Size,FALSE,
96,Fail Dimensional Under Size,FALSE,
98,Fail Force Test,FALSE,
103,Fail Pull Testing,FALSE,210
106,Failed Leak Test,FALSE,
107,Failure to Lock Trigger,FALSE,
108,Failure to Unlock Trigger,FALSE,
112,Flipped Clips,FALSE,
115,Frayed Fibers,FALSE,
116,Front and Middle Stops Not Touching,FALSE,
117,Front Stops Not Touching,FALSE,
119,Fuse Switch,FALSE,
140,High Jaw Force,FALSE,
141,High Jaw Gap,FALSE,
148,IFU Retention Samples,FALSE,
152,Incomplete Bonding,FALSE,
159,Incorrect Configuration,FALSE,
161,Incorrect Labeling,FALSE,
163,Incorrect Quantity,FALSE,
164,Incorrect/Missing Weld,FALSE,
174,Insulation Damage,FALSE,
176,Jaw Isolation,FALSE,
178,Jaw Short,FALSE,
186,Label Damage,FALSE,
193,Label Wrinkled,FALSE,
210,Low Jaw Force,FALSE,
211,Low Jaw Gap,FALSE,
220,Material Overissue,FALSE,
222,Material Underissue,FALSE,
225,Middle Stops Not Touching,FALSE,
228,Misfeed,FALSE,
232,Missing Label,FALSE,
233,Missing Pads,FALSE,
235,Mixed Batch,FALSE,
258,Packaging Damage,FALSE,
264,Partial Pack,FALSE,
265,Particulate Matter,FALSE,
268,Pin Hole Too Small,FALSE,
293,Program Verification Fail,FALSE,
294,Pull Test Samples,FALSE,
303,Q.C Sample,FALSE,
307,RF Firing Fail,FALSE,
319,Rough Blade,FALSE,
322,Rough Jaw Actuation,FALSE,
324,Rough Knob Rotation,FALSE,
325,Rough Rotation,FALSE,
326,Rough Rotation Shaft Rotation,FALSE,
331,Scratched Logo,FALSE,
332,Scratches,FALSE,227
333,Seal Integrity,FALSE,
336,Setup Scrap,FALSE,226
338,Short Fed Clips,FALSE,
339,Short Protrusion,FALSE,
349,Spots,FALSE,
351,Squeaky Blade,FALSE,
352,Squeaky Clips,FALSE,
353,Squeaky Knob,FALSE,
355,Stuck Blade,FALSE,
356,Stuck Button,FALSE,
359,Test Sample (Bioburden),FALSE,
360,Test Sample (Pyrogen),FALSE,
361,Test Samples(Gamma Audit),FALSE,
378,Uneven Placement of Pad,FALSE,
388,Wire Exposure,FALSE,270
402,Excessive Snagging,FALSE,10
466,DHR Cancellation,FALSE,55
467,Opened Bag,FALSE,56
468,Damaged Assembly After Slider Press,FALSE,57
469,Damaged Assembly After Insert Press,FALSE,58
470,Clip Loaded Past the Clip Retention Tab,FALSE,59
471,Clip Legs Not in Jaw Groove,FALSE,60
472,Bent Feeder,FALSE,61
473,Damaged CSA,FALSE,62
474,Dent,FALSE,63
475,Device Jammed,FALSE,64
476,Double Feed,FALSE,65
477,Dry Fire,FALSE,66
478,Excessive Angle at Tip of Jaw,FALSE,67
479,Fail Clip Width,FALSE,68
480,Failed Flatness Gauge,FALSE,69
481,Failed Trigger Gauge,FALSE,70
482,Incorrect Clip Quantity,FALSE,71
483,Rough Actuation,FALSE,72
484,Short Feed,FALSE,73
485,Trigger Retraction,FALSE,74
486,Vertical Misalignment,FALSE,75
493,Incorrect Soldered Latis Location,FALSE,81
494,Incorrect Glue Location,FALSE,82
495,Failed Trigger Go/No-Go Gauge,FALSE,83
496,Adhesive Transfer Samples,FALSE,84
509,Non-Packaged Component,FALSE,97
510,Punctured Sleeve,FALSE,98
511,Excessive Handle Separation,FALSE,99
512,Bent Sleeve,FALSE,100
514,Particulate Matter - Yellow,FALSE,102
535,Pinhole Rework,FALSE,120
538,Loose Latis Pad,FALSE,123
539,Short Pad,FALSE,124
540,Melted Pad,FALSE,125
541,Incomplete Seal,FALSE,126
542,Large Seal on Top,FALSE,127
543,Clips Out of Specification,FALSE,128
544,Faded Logo,FALSE,129
545,Bent CSA Distal Ramp,FALSE,130
546,ACL Machine Fault/Jam,FALSE,131
547,Under Cambered Jaw,FALSE,132
548,Over Cambered Jaw,FALSE,133
549,Failed Tip Setting,FALSE,134
550,Fixed Quantity,FALSE,135
615,Tilted Pad,FALSE,201
616,Insufficient Adhesive,FALSE,257
617,Void,FALSE,203
618,Failed Pad Probe Test,FALSE,204
624,Open Handle,FALSE,211
625,BP Cap Separation,FALSE,212
626,Damaged Front Blade Pushers,FALSE,213
629,Loose Knob Collar,FALSE,216
630,Incorrect Insulation Orientation,FALSE,217
639,Excess Grivory,FALSE,228
665,Unable To Insert Blade Guide,FALSE,256
679,Discolored Weld,FALSE,272
704,Focus Error,FALSE,279
705,Desired Pattern Not Found,FALSE,280
721,Handle Overmold Defects,FALSE,309
734,Exposed Wire (Dynamic),FALSE,326
735,Exposed Wire (Static),FALSE,327
736,Short Wire,FALSE,328
737,Electrode Isolation,FALSE,329
738,Blade Lock Failure,FALSE,330
739,Missing Stop,FALSE,331
741,Loose Jaw,FALSE,353
